order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,total_amount,order_status,shipping_address,payment_method
1,1947,2021-02-25 00:00:00,Books,Product_675,9,144.75,1302.75,Completed,3381 Oak St,Bank Transfer
2,2411,2020-09-11 00:00:00,Sports,Product_1000,3,248.05,744.15,Pending,1398 Main St,Bank Transfer
3,4635,2022-05-21 00:00:00,Garden,Product_917,5,335.63,1678.15,Shipped,1873 Elm St,Bank Transfer
4,3506,2020-07-26 00:00:00,Electronics,Product_882,9,155.39,1398.51,Cancelled,5747 Elm St,PayPal
5,2992,2021-01-30 00:00:00,Clothing,Product_318,6,452.52,2715.12,Shipped,4279 Main St,Bank Transfer
6,1344,2021-03-01 00:00:00,Beauty,Product_802,5,191.0,955.0,Shipped,3119 Oak St,Cash
7,2319,2022-03-31 00:00:00,Books,Product_562,4,79.81,319.24,Shipped,9140 Maple St,Debit Card
8,5807,2023-03-05 00:00:00,Food,Product_667,9,192.89,1736.01,Completed,1584 Elm St,Cash
9,1084,2020-09-09 00:00:00,Sports,Product_444,8,79.34,634.72,Cancelled,5253 Elm St,Bank Transfer
10,3108,2022-10-20 00:00:00,Clothing,Product_973,2,281.54,563.08,Cancelled,8045 Oak St,PayPal
11,5902,2023-11-03 00:00:00,Electronics,Product_520,5,356.9,1784.5,Pending,3766 Elm St,PayPal
12,7085,2022-02-18 00:00:00,Food,Product_416,1,66.02,66.02,Cancelled,5118 Main St,Bank Transfer
13,6237,2022-02-10 00:00:00,Automotive,Product_188,3,132.29,396.87,Cancelled,2172 Maple St,Cash
14,9757,2020-08-19 00:00:00,Beauty,Product_121,5,104.48,522.4,Pending,1324 Elm St,Cash
15,9009,2023-02-01 00:00:00,Automotive,Product_915,1,13.25,13.25,Processing,1421 Elm St,Credit Card
16,8113,2023-01-12 00:00:00,Automotive,Product_108,1,214.46,214.46,Shipped,9819 Pine St,PayPal
17,4438,2020-06-18 00:00:00,Automotive,Product_580,3,407.87,1223.61,Processing,8671 Main St,Debit Card
18,9760,2023-10-27 00:00:00,Electronics,Product_270,3,368.95,1106.85,Shipped,1021 Maple St,Credit Card
19,1651,2022-07-30 00:00:00,Sports,Product_926,9,413.99,3725.91,Pending,3666 Elm St,Credit Card
20,2537,2023-11-23 00:00:00,Garden,Product_124,4,78.54,314.16,Shipped,8635 Main St,Cash
21,3574,2023-10-30 00:00:00,Electronics,Product_291,7,357.44,2502.08,Cancelled,5128 Elm St,PayPal
22,3199,2021-06-25 00:00:00,Home,Product_330,8,458.09,3664.72,Cancelled,220 Pine St,PayPal
23,897,2020-06-26 00:00:00,Beauty,Product_22,4,189.03,756.12,Pending,4204 Oak St,Debit Card
24,8516,2023-10-05 00:00:00,Sports,Product_122,10,157.69,1576.9,Shipped,6857 Oak St,Cash
25,8990,2020-04-26 00:00:00,Toys,Product_289,6,43.04,258.24,Pending,9297 Elm St,PayPal
26,7283,2021-04-18 00:00:00,Books,Product_475,10,286.46,2864.6,Shipped,1737 Pine St,Cash
27,6942,2020-10-27 00:00:00,Books,Product_175,3,283.16,849.48,Cancelled,6732 Pine St,Credit Card
28,7082,2020-07-14 00:00:00,Automotive,Product_421,1,53.14,53.14,Pending,3253 Main St,Cash
29,3857,2022-03-11 00:00:00,Electronics,Product_195,1,145.64,145.64,Processing,1163 Main St,Debit Card
30,3590,2022-02-21 00:00:00,Garden,Product_652,10,303.44,3034.4,Completed,8816 Maple St,Debit Card
31,7690,2023-10-31 00:00:00,Toys,Product_363,8,300.63,2405.04,Cancelled,208 Oak St,Debit Card
32,290,2023-03-07 00:00:00,Food,Product_92,6,406.55,2439.3,Completed,5537 Maple St,PayPal
33,6162,2021-06-25 00:00:00,Automotive,Product_973,1,415.83,415.83,Pending,2423 Oak St,Bank Transfer
34,5123,2021-12-22 00:00:00,Home,Product_185,9,346.45,3118.05,Processing,3046 Maple St,Cash
35,4182,2021-06-24 00:00:00,Books,Product_268,2,281.04,562.08,Pending,4421 Elm St,Cash
36,9414,2021-11-18 00:00:00,Electronics,Product_519,5,63.45,317.25,Shipped,3781 Elm St,Credit Card
37,6211,2021-09-11 00:00:00,Home,Product_563,1,302.32,302.32,Processing,7287 Pine St,Debit Card
38,5910,2020-02-20 00:00:00,Garden,Product_209,5,19.72,98.6,Completed,3820 Main St,Bank Transfer
39,4068,2020-01-21 00:00:00,Electronics,Product_786,5,368.47,1842.35,Pending,8973 Maple St,PayPal
40,6972,2020-10-01 00:00:00,Beauty,Product_849,9,314.91,2834.19,Shipped,4445 Pine St,PayPal
41,5320,2021-02-18 00:00:00,Books,Product_636,1,190.98,190.98,Pending,8886 Main St,Bank Transfer
42,8287,2021-12-30 00:00:00,Home,Product_873,5,134.47,672.35,Shipped,9315 Pine St,Bank Transfer
43,410,2020-02-23 00:00:00,Toys,Product_130,8,461.45,3691.6,Shipped,9452 Pine St,Bank Transfer
44,1210,2022-04-18 00:00:00,Food,Product_448,1,326.23,326.23,Pending,5149 Main St,Credit Card
45,1669,2021-08-31 00:00:00,Sports,Product_671,1,345.92,345.92,Shipped,588 Pine St,Debit Card
